task_id,step_id,name,actor,procedure,pass_criteria,required_evidence
OPS-06,J30,Parent portal,parent,Exercise parent portal loading/empty/populated/partial-error/retry/offline/session-expiry/conflict states.,Every visible parent control is registered and functional; no unavailable V1 placeholders.,journey/J30-parent-portal.json
OPS-06,J31,Parent protected next class,parent,Use the visible protected next-class action under provider-off mode.,Server returns a safe protected receipt/descriptor without raw provider URL; entitlement enforced.,journey/J31-parent-next-class.json
OPS-06,J32,"Parent library, review, progress, rewards",parent,Open entitled library and review content and inspect progress/rewards for each learner.,Each learner's data is scoped and accurate; sibling switching never mixes data.,journey/J32-parent-learning.json
OPS-06,J33,Student portal,student,Exercise student portal loading/populated/partial-error/retry/offline/session-expiry states.,Every visible student control is registered and functional; only Ari data appears.,journey/J33-student-portal.json
OPS-06,J34,Student protected next class,student,Use visible next-class action under provider-off mode.,Entitlement and student scope are enforced; safe receipt only; no provider URL.,journey/J34-student-next-class.json
OPS-06,J35,"Student library, review, progress, rewards",student,Open entitled library and review content and inspect Ari progress/rewards.,Protected content works without sibling/household leakage; state matches database.,journey/J35-student-learning.json
OPS-06,J36,Learner question queue,student,"Submit the synthetic question, replay it, and inspect owner/admin queue visibility.","Durable queued receipt, idempotency, audit, safe status, and no provider send; otherwise FAIL_PRODUCT_GAP.",journey/J36-question-queue.json; queue/J36-question.json
OPS-06,J37,Subscriber support receipt,parent,"Submit the synthetic support request, replay it, and inspect owner/admin receipt visibility.","Durable received receipt, idempotency, audit, subscriber entitlement, and no provider send; otherwise FAIL_PRODUCT_GAP.",journey/J37-support-receipt.json
OPS-06,J38,Student logout and token replay,student,"Logout, then replay the former cookie/token against protected route and API.",Session is revoked; protected state is cleared; replay is denied.,journey/J38-student-logout.json
OPS-06,J39,Parent revokes student sessions,parent,"Log Ari in again, invoke parent revoke-sessions, and retry Ari's active session.",All Ari sessions are invalid; parent session remains valid; audit exists.,journey/J39-parent-revoke-student-sessions.json
OPS-06,J40,School signup,anonymous,Submit the School payload through visible signup controls.,Truthful school-inquiry acknowledgement; exactly one CRM lead/internal alert; no subscriber message.,journey/J40-school-signup.json
OPS-06,J41,Prove School lead-only boundaries,owner|administrator,Open School CRM detail and query all entitlement/account/support/classroom tables and routes.,"School remains lead-only: no subscription, household, portal, classroom, reminder, or support entitlement.",journey/J41-school-boundaries.json; db/J41-school-negative-ledger.json
OPS-06,J42,Inactive subscriber role,inactive_subscriber,Log in or exercise the defined inactive state and attempt protected learning/support actions.,Truthful inactive state; no learning/support entitlement escalation; activation path remains bounded.,journey/J42-inactive-subscriber.json
OPS-06,J43,"Queue retry, dead-letter, and worker restart",worker,"Inject retryable and terminal sink faults, stop worker after claim, restart, advance clock, and drain.","Lease recovery, deterministic retry, dead-letter, and duplicate suppression persist across restart.",journey/J43-worker-restart.json; queue/J43-retry-dead-letter.json
OPS-06,J44,"Account, role, household, sibling isolation",security_test,Run direct API and UI cross-scope probes for all actors and synthetic second household.,Unauthorized access is 401/403/404 without enumeration; zero cross-scope rows or cached data.,journey/J44-isolation.json
OPS-06,J45,Click every visible action in all presentation modes,all_roles,Regenerate DOM registry and click/focus every visible action at all viewports and accessibility modes.,DOM/registry bijection; zero dead/hidden/Coming Soon controls; consistent header/footer/nav/forms/cards/buttons.,journey/J45-action-sweep.json; accessibility/J45-matrix.json
OPS-06,J46,"PostgreSQL 16, scans, health, and performance",release_engineer,"Run fresh and upgrade migrations, concurrency/isolation checks, scans, health, budgets, and 30-sample throttled-mobile measurements.",All hard gates pass at exact SHA with zero BNA fanout and declared percentile/bundle/request budgets.,release/J46-gates.json; performance/J46-summary.json
OPS-06,J47,Reset synthetic fixtures twice,release_engineer,"Execute reset/rollback plan, verify baseline, rerun reset, and verify idempotency.","All OPS-06 rows, leases, receipts, sessions, files, and caches are removed or returned to baseline; reset is idempotent.",reset/J47-reset-1.json; reset/J47-reset-2.json
OPS-06,J48,Emit final certification and checksums,automation,"Validate evidence schema, calculate checksums, and produce PASS/FAIL verdict with blocker list.",PASS only when every required gate passes; otherwise explicit FAIL with evidence and no false readiness claim.,FINAL-REPORT.json; evidence-index.json; checksums.sha256
