select_id,source_file,source_drive_id,in_time,out_time,duration,category,description,energy_score,clarity_score,face_flag,student_flag,rights_status,audio_status,recommended_template_slot,notes,derivative_file
OTM-S011,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:03:14.400,00:03:16.200,1.800,board-device,Rabbi points to field/measurement visual,9,9,rabbi_original,false,evidence_located,original_aac_retained,board_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h03m14.400-00h03m16.200_BOARD_DEVICE_V01.mp4
OTM-S012,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:05:19.400,00:05:21.200,1.800,board-device,Rabbi points directly to highlighted Mishnah line,8,9,rabbi_original,false,evidence_located,original_aac_retained,board_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h05m19.400-00h05m21.200_BOARD_DEVICE_V01.mp4
OTM-S013,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:08:25.400,00:08:27.200,1.800,board-device,Rabbi smiles while pointing to Hebrew text,9,9,rabbi_original,false,evidence_located,original_aac_retained,proof_text_beat,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h08m25.400-00h08m27.200_BOARD_DEVICE_V01.mp4
OTM-S014,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:15:42.400,00:15:44.200,1.800,board-device,Rabbi marks and explains on teaching screen,8,9,rabbi_original,false,evidence_located,original_aac_retained,board_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h15m42.400-00h15m44.200_BOARD_DEVICE_V01.mp4
OTM-S015,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:16:44.200,00:16:46.000,1.800,board-device,Rabbi points to field diagram and measurements,9,9,rabbi_original,false,evidence_located,original_aac_retained,board_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h16m44.200-00h16m46.000_BOARD_DEVICE_V01.mp4
OTM-S016,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:25:02.400,00:25:04.200,1.800,board-device,Rabbi points to fence/field graphic,9,9,rabbi_original,false,evidence_located,original_aac_retained,board_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h25m02.400-00h25m04.200_BOARD_DEVICE_V01.mp4
OTM-S017,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:07:24.400,00:07:26.200,1.800,board-device,Rabbi points across Mishnah screen,8,9,rabbi_original,false,evidence_located,original_aac_retained,payoff,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BM-P1_00h07m24.400-00h07m26.200_BOARD_DEVICE_V01.mp4
OTM-S018,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:09:29.400,00:09:31.200,1.800,board-device,Rabbi points to the current Mishnah line,8,9,rabbi_original,false,evidence_located,original_aac_retained,board_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BM-P1_00h09m29.400-00h09m31.200_BOARD_DEVICE_V01.mp4
OTM-S019,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:24:04.400,00:24:06.200,1.800,board-device,Rabbi explains original document graphic,9,9,rabbi_original,false,evidence_located,original_aac_retained,board_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BM-P1_00h24m04.400-00h24m06.200_BOARD_DEVICE_V01.mp4
OTM-S020,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:28:14.000,00:28:15.800,1.800,board-device,Rabbi points to object-identification diagram,8,9,rabbi_original,false,evidence_located,original_aac_retained,board_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BM-P1_00h28m14.000-00h28m15.800_BOARD_DEVICE_V01.mp4
OTM-S021,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:11:32.500,00:11:34.800,2.300,class-wide,Full teaching-room view with Rabbi and board,8,9,rabbi_original,false,evidence_located,original_aac_retained,teaching_montage,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h11m32.500-00h11m34.800_CLASS_WIDE_V01.mp4
OTM-S022,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:17:46.900,00:17:49.200,2.300,class-wide,Wide Rabbi/board proof with full figure,7,9,rabbi_original,false,evidence_located,original_aac_retained,class_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h17m46.900-00h17m49.200_CLASS_WIDE_V01.mp4
OTM-S023,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:16:46.000,00:16:48.300,2.300,class-wide,Wide side view of Rabbi teaching,8,8,rabbi_original,false,evidence_located,original_aac_retained,class_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BM-P1_00h16m46.000-00h16m48.300_CLASS_WIDE_V01.mp4
OTM-S024,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:27:11.200,00:27:13.500,2.300,class-wide,Wide Rabbi gesture with Mishnah visible,8,9,rabbi_original,false,evidence_located,original_aac_retained,class_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BM-P1_00h27m11.200-00h27m13.500_CLASS_WIDE_V01.mp4
OTM-S025,2026-07-19 18-49-22.mp4,1GAIAY3-j-8yaI5mIswzLKfZyZewEYr5_,00:18:08.600,00:18:10.600,2.000,screens-sefarim,Cropped device view: original Mishnah slide plus Rabbi inset,7,8,rabbi_original,false,evidence_located,original_aac_retained,screen_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_RAW-0719_00h18m08.600-00h18m10.600_SCREENS_SEFARIM_V01.mp4
OTM-S026,2026-07-19 18-49-22.mp4,1GAIAY3-j-8yaI5mIswzLKfZyZewEYr5_,00:24:08.600,00:24:10.600,2.000,screens-sefarim,Cropped device view: source text plus Rabbi pointing inset,8,8,rabbi_original,false,evidence_located,original_aac_retained,screen_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_RAW-0719_00h24m08.600-00h24m10.600_SCREENS_SEFARIM_V01.mp4
OTM-S027,2026-07-19 18-49-22.mp4,1GAIAY3-j-8yaI5mIswzLKfZyZewEYr5_,00:25:20.600,00:25:22.600,2.000,screens-sefarim,Cropped device view: Mishnah slide plus Rabbi gesture,8,8,rabbi_original,false,evidence_located,original_aac_retained,screen_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_RAW-0719_00h25m20.600-00h25m22.600_SCREENS_SEFARIM_V01.mp4
OTM-S028,2026-07-19 18-49-22.mp4,1GAIAY3-j-8yaI5mIswzLKfZyZewEYr5_,00:31:21.400,00:31:23.400,2.000,screens-sefarim,Cropped device view: source text plus Rabbi full gesture,8,8,rabbi_original,false,evidence_located,original_aac_retained,screen_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_RAW-0719_00h31m21.400-00h31m23.400_SCREENS_SEFARIM_V01.mp4
OTM-S029,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:15:54.490,00:15:58.490,4.000,voice-bites,Clear explanatory voice bite,7,9,rabbi_original,false,evidence_located,original_aac_retained,voice_1,"RAW screen clips crop only browser chrome; no face or content generation. Transcript: So let me just show you the measurements, just to make it clear.",OTM_BB-P7_00h15m54.490-00h15m58.490_VOICE_BITES_V01.mp4
OTM-S030,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:17:50.200,00:17:54.200,4.000,voice-bites,Energetic transition voice bite,8,9,rabbi_original,false,evidence_located,original_aac_retained,voice_2,"RAW screen clips crop only browser chrome; no face or content generation. Transcript: Okay, now this is interesting. It gets a little easier now.",OTM_BB-P7_00h17m50.200-00h17m54.200_VOICE_BITES_V01.mp4
OTM-S031,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:01:51.020,00:01:54.340,3.320,voice-bites,Direct question/interaction voice bite,8,8,rabbi_original,false,evidence_located,original_aac_retained,alternate_voice,"RAW screen clips crop only browser chrome; no face or content generation. Transcript: This one says, ‘I found it.’ This one says, ‘No.’ What do you think about it?",OTM_BM-P1_00h01m51.020-00h01m54.340_VOICE_BITES_V01.mp4
